Time[s], Phase A, Phase B, Phase C
 Time [s],Phase A-Analog,Phase B-Analog,Phase C-Analog
0.000000000000000, 0.007230309303850, 0.697173774242401, 1.865787148475647
0.000000200000000, 0.012701936066151, 0.697173774242401, 1.856149077415466
0.000000400000000, 0.035956349223852, 0.697173774242401, 1.824481248855591
0.000000600000000, 0.094776339828968, 0.694423854351044, 1.751507759094238
0.000000800000000, 0.209680512547493, 0.688924014568329, 1.617952346801758
0.000001000000000, 0.384772568941116, 0.682049214839935, 1.425191879272461
0.000001200000000, 0.600901842117310, 0.676549375057220, 1.200763702392578
0.000001400000000, 0.821134805679321, 0.675174415111542, 0.983219802379608
0.000001600000000, 1.014009714126587, 0.680674254894257, 0.795966863632202
0.000001800000000, 1.167215228080750, 0.693048894405365, 0.650019705295563
0.000002000000000, 1.286223173141479, 0.709548413753510, 0.535740315914154
0.000002200000000, 1.383344531059265, 0.727422893047333, 0.442113846540451
0.000002400000000, 1.464051008224487, 0.743922412395477, 0.363632827997208
0.000002600000000, 1.533814311027527, 0.754922032356262, 0.300297260284424
0.000002800000000, 1.591266393661499, 0.761796832084656, 0.247976586222649
0.000003000000000, 1.639143109321594, 0.763171792030334, 0.206670776009560
0.000003200000000, 1.677444458007813, 0.761796832084656, 0.172249287366867
0.000003400000000, 1.710274219512939, 0.759046912193298, 0.143335223197937
0.000003600000000, 1.736264467239380, 0.757671952247620, 0.118551738560200
0.000003800000000, 1.758150935173035, 0.757671952247620, 0.099275700747967
0.000004000000000, 1.777301669120789, 0.761796832084656, 0.084130242466927
0.000004200000000, 1.790980696678162, 0.767296671867371, 0.074492223560810
0.000004400000000, 1.796452403068542, 0.775546431541443, 0.074492223560810
0.000004600000000, 1.781405329704285, 0.783796191215515, 0.097898840904236
0.000004800000000, 1.723953247070313, 0.789296030998230, 0.162611261010170
0.000005000000000, 1.604945421218872, 0.793420910835266, 0.286528676748276
0.000005200000000, 1.425749659538269, 0.792045950889587, 0.468274176120758
0.000005400000000, 1.206884503364563, 0.787921071052551, 0.681687474250793
0.000005600000000, 0.988019466400146, 0.778296351432800, 0.892347097396851
0.000005800000000, 0.799248337745667, 0.764546751976013, 1.072715759277344
0.000006000000000, 0.650146484375000, 0.749422192573547, 1.215909123420715
0.000006200000000, 0.533874392509460, 0.734297692775726, 1.327434778213501
0.000006400000000, 0.440856754779816, 0.721923053264618, 1.418307542800903
0.000006600000000, 0.362886071205139, 0.713673293590546, 1.495411753654480
0.000006800000000, 0.298594444990158, 0.712298333644867, 1.561501026153564
0.000007000000000, 0.245246082544327, 0.715048253536224, 1.615198612213135
0.000007200000000, 0.202840968966484, 0.719173133373260, 1.659258127212524
0.000007400000000, 0.167275398969650, 0.724672973155975, 1.695056438446045
0.000007600000000, 0.138549357652664, 0.728797852993011, 1.725347399711609
0.000007800000000, 0.113927036523819, 0.730172812938690, 1.750130891799927
0.000008000000000, 0.094776339828968, 0.730172812938690, 1.770783782005310
0.000008200000000, 0.079729370772839, 0.728797852993011, 1.788682937622070
0.000008400000000, 0.067418202757835, 0.727422893047333, 1.803828358650208
0.000008600000000, 0.057842858135700, 0.724672973155975, 1.816220164299011
0.000008800000000, 0.049635417759418, 0.723298013210297, 1.825858116149902
0.000009000000000, 0.041427977383137, 0.721923053264618, 1.834119319915771
0.000009200000000, 0.035956349223852, 0.721923053264618, 1.839626789093018
0.000009400000000, 0.030484724789858, 0.723298013210297, 1.845134258270264
0.000009600000000, 0.026381004601717, 0.726047933101654, 1.847887873649597
0.000009800000000, 0.022277282550931, 0.727422893047333, 1.850641608238220
0.000010000000000, 0.020909376442432, 0.728797852993011, 1.852018475532532
0.000010200000000, 0.019541470333934, 0.731547772884369, 1.853395342826843
0.000010400000000, 0.018173562362790, 0.732922732830048, 1.856149077415466
0.000010600000000, 0.016805656254292, 0.734297692775726, 1.857525944709778
0.000010800000000, 0.015437749214470, 0.735672652721405, 1.860279679298401
0.000011000000000, 0.014069843105972, 0.735672652721405, 1.861656546592712
0.000011200000000, 0.012701936066151, 0.737047612667084, 1.863033413887024
0.000011400000000, 0.012701936066151, 0.737047612667084, 1.863033413887024
0.000011600000000, 0.011334029026330, 0.738422572612762, 1.863033413887024
0.000011800000000, 0.009966122917831, 0.739797532558441, 1.864410281181335
0.000012000000000, 0.007230309303850, 0.741172492504120, 1.864410281181335
0.000012200000000, 0.005862402264029, 0.743922412395477, 1.864410281181335
0.000012400000000, 0.005862402264029, 0.745297372341156, 1.864410281181335
0.000012600000000, 0.005862402264029, 0.746672272682190, 1.864410281181335
0.000012800000000, 0.005862402264029, 0.748047232627869, 1.864410281181335
0.000013000000000, 0.005862402264029, 0.748047232627869, 1.865787148475647
0.000013200000000, 0.005862402264029, 0.748047232627869, 1.865787148475647
0.000013400000000, 0.005862402264029, 0.748047232627869, 1.865787148475647
0.000013600000000, 0.004494495689869, 0.748047232627869, 1.865787148475647
0.000013800000000, 0.004494495689869, 0.749422192573547, 1.865787148475647
0.000014000000000, 0.004494495689869, 0.749422192573547, 1.867164015769958
0.000014200000000, 0.004494495689869, 0.750797152519226, 1.867164015769958
0.000014400000000, 0.004494495689869, 0.752172112464905, 1.868540763854980
0.000014600000000, 0.004494495689869, 0.754922032356262, 1.868540763854980
0.000014800000000, 0.004494495689869, 0.756296992301941, 1.868540763854980
0.000015000000000, 0.004494495689869, 0.757671952247620, 1.868540763854980
0.000015200000000, 0.004494495689869, 0.759046912193298, 1.868540763854980
0.000015400000000, 0.004494495689869, 0.759046912193298, 1.868540763854980
